cliente;frecuencia;recencia;ticket_promedio;ticket;cl_value
43874199;34;22;57562.524478947365;4374751.8604;1957125.8322842105
43905288;19;5;57180.7155862069;1658240.752;1086433.596137931
43911312;41;14;73367.7053;28246566.5405;3008075.9173
43983620;27;19;62295.35922222222;5606582.33;1681974.699
50869381;19;26;83308.65148947369;9497186.2698;1582864.3783000002
50891564;19;41;78116.99137931035;6796178.25;1484222.8362068967
50998639;40;10;58596.64697761194;3925975.3475;2343865.879104478
52364737;15;60;72848.4734347826;1675514.889;1092727.101521739
53128974;22;67;77010.3569670886;6083818.2004;1694227.8532759494
54253063;13;84;78865.80106382979;3706692.65;1025255.4138297872
54257667;57;8;59013.708503401365;8675015.15;3363781.384693878
54258313;8;27;70158.50272727273;1543487.06;561268.0218181818
55069333;5;40;109466.3764;2189327.528;547331.882
65718763;34;11;70046.68160457516;10717142.2855;2381587.1745555555
66904224;10;42;106405.18388823529;3617776.2522;1064051.838882353
69005258;21;0;74942.12451951219;3072627.1053;1573784.614909756
69007563;23;5;68080.46424266667;20424139.2728;1565850.6775813333
69007806;68;1;59673.71618099379;48037341.5257;4057812.700307578
70000364;35;7;62278.514889908256;13576716.246;2179748.021146789
70000665;23;21;109893.20218181818;6044126.12;2527543.6501818183
70001394;18;11;90120.77418978102;12346546.064;1622173.9354160584
70003230;29;5;57725.261268539325;5137548.2529;1674032.5767876403
70048255;17;63;104586.73908695653;7216484.997;1777974.564478261
70052481;11;62;68717.77664705882;2336404.406;755895.5431176471
70058755;11;1;88026.66292857143;1232373.281;968293.2922142857
70062285;11;48;67263.9361;1345278.722;739903.2971000001
70065808;15;5;76308.795625;2136646.2775;1144631.934375
70107432;25;46;59705.76122361111;4298814.8081;1492644.0305902776
70116140;27;6;57909.89689529412;4922341.2361;1563567.2161729413
70129610;24;12;64044.800294117646;4355046.42;1537075.2070588234
70132174;21;11;58362.91615873016;3676863.718;1225621.2393333332
70163041;24;19;67246.115;3362305.75;1613906.7600000002
70163174;28;0;69860.94091666667;6287484.6825;1956106.345666667
70163328;30;7;57731.4007287234;5426751.6685;1731942.021861702
70165924;16;0;57205.255;3661136.32;915284.08
70167078;2;0;63549.52416000001;317747.62080000003;127099.04832000002
70196497;31;1;67666.29306272189;11435603.5276;2097655.0849443786
70220947;8;78;58694.48603333333;704333.8324;469555.8882666666
70252513;55;8;64784.039638036804;21119596.922;3563122.180092024
70254717;12;19;57436.43375;1837965.88;689237.205
